file,T_PM_MAE,T_PM_MSE,T_PM_COV,c_MAE,c_MSE,c_COV,d10_MAE,d10_MSE,d10_COV,d50_MAE,d50_MSE,d50_COV,d90_MAE,d90_MSE,d90_COV,T_TM_MAE,T_TM_MSE,T_TM_COV,T_PM_MAE_closed,T_PM_MSE_closed,T_PM_COV_closed,c_MAE_closed,c_MSE_closed,c_COV_closed,d10_MAE_closed,d10_MSE_closed,d10_COV_closed,d50_MAE_closed,d50_MSE_closed,d50_COV_closed,d90_MAE_closed,d90_MSE_closed,d90_COV_closed,T_TM_MAE_closed,T_TM_MSE_closed,T_TM_COV_closed
file_550,0.18111844218059847,0.10591430364552365,99.3933265925177,0.0003857378411474383,5.89811822377812e-07,97.87664307381193,5.64665188777167e-05,2.1618479122834942e-07,96.56218402426694,0.00013111203463530164,3.819061874023767e-06,85.84428715874621,5.625091452087528e-05,3.1262116522847534e-08,83.3164812942366,0.17580190756557368,0.11249135914569991,99.3933265925177,0.32732441555354236,0.3623686508168309,99.08814589665653,0.000667487160721548,1.669498212227742e-06,97.46707193515705,5.769459625999498e-05,2.170645013236815e-07,96.85916919959473,0.00013164580515913604,3.828333815130867e-06,85.91691995947315,5.657006868125823e-05,3.2097827984088816e-08,83.18135764944276,0.3390820720405429,0.4101135891619526,98.68287740628166
file_56035,0.16491475389230997,0.08823356330868812,99.29221435793731,0.0004099449398366117,3.8323360722138824e-07,96.15773508594539,0.00014036694856380398,3.20472193800406e-06,95.95551061678464,0.00012161659796181217,2.9063873701243368e-06,89.88877654196158,7.022565635025552e-05,1.7463693541812663e-08,87.36097067745197,0.17762814460341098,0.08807099672321494,99.49443882709808,0.2593745694109145,0.21972317317180584,99.59473150962512,0.0006301047230460602,9.767579483152632e-07,96.25126646403243,0.00013972940899899166,3.210580913174155e-06,96.1499493414387,0.00011708922778069379,2.896977571703222e-06,89.96960486322189,6.76268722276538e-05,1.4921278438760523e-08,87.63931104356637,0.28421168890576637,0.24028870946766046,99.69604863221885
file_62851,0.15562994720440526,0.06589457695767843,99.79777553083923,0.00037407884106996505,3.726913416690326e-07,97.26996966632963,0.00010338811982686949,2.0927179017356302e-06,96.35995955510617,7.831136099844734e-05,8.006679634356815e-07,91.6076845298281,0.00012540670567332395,1.6442136025088856e-06,85.64206268958544,0.17265157819007804,0.07572005156562964,99.79777553083923,0.24104271423970555,0.1585559987099506,99.89868287740629,0.0005729637914539996,8.328820563301805e-07,97.36575481256332,0.0001017780341626884,2.0946959799333638e-06,96.1499493414387,7.500487148193264e-05,7.90095662466215e-07,91.7933130699088,0.0001243260042030417,1.6463752988034002e-06,85.71428571428571,0.2609203663605379,0.19577813660925225,99.79736575481256
file_63816,0.13125808435330635,0.036126166044559205,99.89888776541962,0.0002658970944576962,1.643382341319035e-07,97.77553083923155,4.1320540700298145e-05,2.8392292598013587e-09,98.28109201213347,0.00011767996453397458,1.55352333307901e-06,89.88877654196158,7.47369950354118e-05,2.77094538432477e-07,87.05763397371082,0.16257226347911705,0.05727093485975314,99.79777553083923,0.24589898682275313,0.17456889183191132,100.0,0.00039662901872107646,3.5943796861238723e-07,97.66970618034448,4.083462407312371e-05,2.767796508166591e-09,98.37892603850051,0.00011694359372881101,1.555576655734368e-06,90.0709219858156,7.59641558689824e-05,2.7742791012541107e-07,86.93009118541033,0.27324330427175625,0.21056952817033817,99.89868287740629
file_68111,0.13203382459109617,0.03490869296283439,100.0,0.0001676707244264935,5.740351740632546e-08,98.48331648129424,5.603880739332951e-05,3.7733881524100904e-07,98.17997977755309,5.899027387055136e-05,1.2109985268198764e-07,94.94438827098078,0.00011127927468802644,2.335235300325436e-06,86.65318503538928,0.18326732697399908,0.05371647685058973,100.0,0.196616907993331,0.08234863904283322,100.0,0.00023820677636373144,1.9921008214682265e-07,98.37892603850051,5.663252874820103e-05,3.7749381500812034e-07,98.27760891590678,6.0044381368660586e-05,1.2086662215167443e-07,94.83282674772036,0.00011296343917109413,2.340225529434456e-06,86.62613981762918,0.24879184767216306,0.10757074876047626,100.0
file_77484,0.19568011763045817,0.07932524604474181,99.79777553083923,0.00029453728099237064,2.1122919541865454e-07,96.96663296258848,0.00013108545381200915,2.7983426618684536e-06,97.4721941354904,0.00011353047471431622,2.0905147767544636e-06,83.417593528817,0.00013612363301556915,2.7615546901065145e-06,80.38422649140546,0.18477572749565696,0.08118322547365155,99.89888776541962,0.331326921428805,0.2674808398329459,99.69604863221885,0.0005314577322861543,6.893370077547257e-07,96.96048632218846,0.00013179696377048795,2.804573627828796e-06,97.36575481256332,0.00011450628321212822,2.094567633533978e-06,83.58662613981764,0.00013867470720228825,2.765832564710341e-06,80.24316109422493,0.30942179862823477,0.25891563711400806,99.69604863221885
file_82278,0.1022442635551341,0.024111106810486352,99.59555106167846,0.00016833189930079973,5.44399680545138e-08,97.67441860465115,0.00013564086493547843,4.2281389716510755e-06,98.98887765419616,0.00012955662586336647,2.761971731961657e-06,94.23660262891809,6.962316521205124e-05,1.1557173988522812e-08,92.11324570273003,0.13356827747947617,0.031048367131308173,99.59555106167846,0.15982892319417688,0.07017415746157146,99.49341438703141,0.0002501536621564137,1.6636754363603366e-07,97.56838905775076,0.0001365163921272065,4.23680622363053e-06,98.98682877406281,0.00013019656190632213,2.7676351107279787e-06,94.32624113475178,7.056851826267448e-05,1.1717746925470385e-08,92.09726443768997,0.18850740443618402,0.07963146549156644,99.79736575481256
file_87603,0.13313874503168652,0.03640813925399389,99.89888776541962,0.0001419293851535474,3.3147113163983876e-08,96.05662285136502,0.00011740227459636195,1.8754491475895552e-06,98.28109201213347,7.455493766819125e-05,3.4163513968665406e-07,93.42770475227502,0.0001770565360465949,4.03746282621344e-06,91.10212335692619,0.1348776392547283,0.03625274800077399,99.89888776541962,0.18777971573236701,0.06843659149868722,100.0,0.0001752486532096479,5.162891832650234e-08,96.04863221884499,0.00011905199764019827,1.8794996287277968e-06,98.17629179331307,7.628578123621743e-05,3.422321350915482e-07,93.51570415400202,0.00017898116729006864,4.044390218100396e-06,91.08409321175279,0.17153701195152712,0.06467279365997466,100.0
file_96991,0.14705251560665833,0.04378386050804473,99.89888776541962,0.00040762017647116914,5.232935988840551e-07,97.57330637007078,4.611930712861523e-05,1.8027144926964978e-08,98.0788675429727,0.00010088755531733146,1.7874314435848772e-06,88.87765419615774,6.545417456654063e-05,2.0410130821261798e-08,87.76541961577351,0.15851369961660877,0.050766737151040985,100.0,0.2333933181151262,0.16616603265494362,99.69604863221885,0.0006942931885870914,1.5535373169281062e-06,97.36575481256332,4.593509089807403e-05,1.8028708522170022e-08,98.37892603850051,0.00010112866121704243,1.7929075728959918e-06,88.55116514690982,6.509206182695304e-05,1.996123306201398e-08,87.84194528875379,0.24618712292462497,0.1815262428549375,99.49341438703141
file_9985,0.14571119308009098,0.041471094429736836,99.89888776541962,0.0002471865990178389,1.4789774494229137e-07,97.37108190091,6.573188167460602e-05,3.1799609418148224e-07,97.06774519716885,6.808895345286611e-05,4.073533086264602e-07,93.12436804853387,0.00014786961983579114,3.0636919742265338e-06,91.10212335692619,0.12419968638221941,0.03875065118497554,100.0,0.24530331446675002,0.18121123980591738,99.89868287740629,0.00044773303205276964,7.252191691805935e-07,97.26443768996961,6.643276236654492e-05,3.189072980416487e-07,96.96048632218846,6.927077056542648e-05,4.0861849589685035e-07,93.11043566362716,0.00014804034707245473,3.070456897436685e-06,91.28672745694021,0.22403339516756424,0.18065454558101554,99.69604863221885
